version, 1.0
codebook_name, AIBS_Musmusculus_HY
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730, RS0793, RS0805, RS0820, RS0896, RS0994, RS1047, RS3505, RS3544, RS3583, RS3592, RS3602, RS3791, RS3811, RS1520,RS1199
name, id, barcode
Prlr, ENSMUST00000124470.1, 0010100001000100000000000000000000000
Ramp3, ENSMUST00000139540.1, 0000001001001010000000000000000000000
Rgs2, ENSMUST00000127206.1, 1000000110001000000000000000000000000
Rgs5, ENSMUST00000027997.3, 1000000000011001000000000000000000000
Rnd3, ENSMUST00000017288.2, 0100010001010000000000000000000000000
Rxfp1, ENSMUST00000182491.1, 0101000010001000000000000000000000000
Scgn, ENSMUST00000021770.7, 1100001000001000000000000000000000000
Selplg, ENSMUST00000100874.4, 0100100101000000000000000000000000000
Sema3c, ENSMUST00000115271.2, 0011010001000000000000000000000000000
Sema3c, ENSMUST00000030568.7, 0011010001000000000000000000000000000
Sema3c, FR0333566, 0011010001000000000000000000000000000
Sema4d, ENSMUST00000110040.2, 0001100100000001000000000000000000000
Sema4d, ENSMUST00000021900.7, 0001100100000001000000000000000000000
Serpinb1b, ENSMUST00000016951.7, 1000010000100001000000000000000000000
Serpine1, ENSMUST00000041388.4, 0000000000110011000000000000000000000
Sgk1, ENSMUST00000020145.5, 0000010000001011000000000000000000000
Slc15a3, ENSMUST00000138263.1, 0000001100010010000000000000000000000
Slc17a6, ENSMUST00000032710.5, 1000001000000101000000000000000000000
Slc17a7, ENSMUST00000085374.5, 0000011010001000000000000000000000000
Slc17a8, ENSMUST00000020102.7, 0000011000100100000000000000000000000
Slc18a2, ENSMUST00000026084.3, 0100100000011000000000000000000000000
Slco1a4, ENSMUST00000165990.1, 0100000100000011000000000000000000000
Slco1a4, ENSMUST00000032364.7, 0100000100000011000000000000000000000
Sox4, ENSMUST00000067230.5, 0100010000000110000000000000000000000
Sox6, ENSMUST00000106612.1, 0010100000010010000000000000000000000
Sox6, ENSMUST00000072804.4, 0010100000010010000000000000000000000
Sox6, ENSMUST00000166877.1, 0010100000010010000000000000000000000
Sox8, ENSMUST00000025003.3, 0000010011000010000000000000000000000
Sp9, ENSMUST00000090813.5, 1010001000000010000000000000000000000
Synpr, ENSMUST00000070323.5, 0101011000000000000000000000000000000
Synpr, ENSMUST00000112656.2, 0101011000000000000000000000000000000
Syt2, ENSMUST00000121990.1, 0000111000000010000000000000000000000
Syt4, ENSMUST00000025110.3, 0010010010100000000000000000000000000
Sytl4, ENSMUST00000113297.2, 0000001000011100000000000000000000000
Tacr1, ENSMUST00000032122.8, 1001001010000000000000000000000000000
Tacr3, ENSMUST00000029822.4, 0000101000001001000000000000000000000
Tiparp, ENSMUST00000047906.3, 0000110001001000000000000000000000000
Tmem108, ENSMUST00000049452.8, 1100000000010100000000000000000000000
Traf4, ENSMUST00000017530.3, 1000000100100100000000000000000000000
Trhr, ENSMUST00000038856.6, 0001000000011010000000000000000000000
Ttn, ENSMUST00000111846.2, 0100001000100010000000000000000000000
Ttn, ENSMUST00000111882.2, 0100001000100010000000000000000000000
Ttn, ENSMUST00000099981.2, 0100001000100010000000000000000000000
Ttn, ENSMUST00000011934.5, 0100001000100010000000000000000000000
Ttyh2, ENSMUST00000045779.5, 0001001001010000000000000000000000000
Blank-1, , 0000010100000101000000000000000000000
Blank-2, , 0000100010001010000000000000000000000
Blank-3, , 1000000000101010000000000000000000000
Blank-4, , 0001001000000110000000000000000000000
Blank-5, , 1000000010000110000000000000000000000
Oxt, ENSMUST00000028764.5, 0000000000000000100000000000000000000
Penk, ENSMUST00000070375.7, 0000000000000000010000000000000000000
Penk, ENSMUST00000133567.1, 0000000000000000010000000000000000000
Sst, ENSMUST00000004480.3, 0000000000000000001000000000000000000
Tac1, ENSMUST00000185187.1, 0000000000000000000100000000000000000
Tac1, ENSMUST00000090679.2, 0000000000000000000100000000000000000
Tac1, ENSMUST00000184986.1, 0000000000000000000100000000000000000
Gal, ENSMUST00000025842.6, 0000000000000000000010000000000000000
Cartpt, ENSMUST00000022150.6, 0000000000000000000001000000000000000
Vgf, ENSMUST00000041543.8, 0000000000000000000000100000000000000
Trh, ENSMUST00000006046.4, 0000000000000000000000010000000000000
Nts, ENSMUST00000020040.3, 0000000000000000000000001000000000000
Scg2, ENSMUST00000049972.4, 0000000000000000000000000100000000000
Gnrh1, ENSMUST00000111095.2, 0000000000000000000000000010000000000
Tac2, ENSMUST00000026466.3, 0000000000000000000000000001000000000
Cck, ENSMUST00000035120.4, 0000000000000000000000000000100000000
Crh, ENSMUST00000061294.4, 0000000000000000000000000000010000000
Ucn3, ENSMUST00000058610.7, 0000000000000000000000000000001000000
Adcyap1, ENSMUST00000064775.6, 0000000000000000000000000000000100000
Nnat, ENSMUST00000173595.1, 0000000000000000000000000000000010000
Nnat, ENSMUST00000173839.1, 0000000000000000000000000000000010000
Sln, ENSMUST00000048485.5, 0000000000000000000000000000000001000
Mbp, ENSMUST00000133193.1, 0000000000000000000000000000000000100
Mbp, ENSMUST00000132369.1, 0000000000000000000000000000000000100
Th, ENSMUST00000000219.3, 0000000000000000000000000000000000010
Th, ENSMUST00000138482.2, 0000000000000000000000000000000000010
Fos, ENSMUST00000021674.6, 0000000000000000000000000000000000001
